Depth,Magnitude,INTENSITY,CONTINENT,YEAR.Cat
33,7.2,8,6,1980
10,5.9,10,1,1980
10,6.2,10,1,1980
10,7.3,10,1,1980
7,5.7,10,4,1990
81.7,5.6,7,4,1990
10,6,9,2,2010
10,7.6,6,2,2010
10,5.5,6,2,2010
10,5.9,6,2,2010
10,6,6,2,2010
10,6.7,8,2,2010
10,5.5,7,2,2010
33,5.5,7,2,2010
19,6.3,8,2,2010
40,5.7,6,2,1970
40,5.7,6,2,1970
40,7.2,6,2,1970
30,6.6,9,2,1980
30,6.2,9,2,1980
30,6,9,2,1980
30,5.8,9,2,1980
30,5.9,9,2,1980
30,7.7,9,2,1980
30,6,9,2,1980
30,5.7,9,2,1980
30,6,9,2,1980
33,6.6,8,2,2000
33,6.6,8,4,2000
30.3,5.7,8,2,2000
30.3,5.7,4,4,2000
33,6.4,8,2,2000
33,6.4,6,4,2000
33,5.5,8,2,2000
33,5.5,7,4,2000
11,6.7,10,6,2010
10,5.7,5,6,2010
55.1,5.7,7,3,2010
55.1,5.7,10,1,2010
401.8,5.5,6,3,2010
401.8,5.5,7,1,2010
15.9,5.5,6,2,2010
28.737,6.5,7,2,2010
28.737,6.5,8,4,2010
20,5.6,8,2,1970
15,6.6,8,2,1970
35.8,5.6,10,5,1970
80,5.7,10,5,1970
115,5.7,10,5,1970
25,7.2,10,5,1970
10,6.8,7,2,2010
33,5.8,6,2,2010
33,5.5,6,2,2010
51,6,6,5,2010
33,5.6,9,2,1990
39.8,5.5,4,2,1990
196.2,5.9,4,2,1990
31.1,5.6,8,3,1990
53.3,5.8,5,2,1990
53.3,5.8,5,6,1990
53.3,5.8,9,1,1990
30.3,6.2,6,2,1990
30.3,6.2,5,6,1990
30.3,6.2,10,1,1990
10,6.1,6,2,2010
17.4,5.6,6,2,2016
10,5.5,5,2,2016
510.6,6.5,7,2,2016
10,6.6,9,2,1980
33,5.8,7,2,2000
46.1,5.9,6,2,2000
10,6.2,9,2,2000
62.9,5.5,9,2,2000
32,5.5,6,2,2010
10,5.8,7,2,2010
43,5.9,5,2,2010
32.2,5.5,5,2,2010
29.4,5.8,5,2,2010
19,6.7,5,2,2010
30,5.5,5,2,2010
30,5.7,5,2,2010
30,6.4,5,2,2010
30,6.5,5,2,2010
23.5,5.6,5,2,2010
11.5,5.8,8,4,2016
4,5.8,10,4,2016
13,6.1,5,4,2016
19,5.6,4,2,2016
25,5.5,8,2,2016
212,6.6,8,2,2016
41,5.7,7,2,2016
33,6.1,8,2,1980
11,6.8,8,2,1980
6,7.7,9,5,1980
26.7,7.2,8,6,1990
33,5.8,8,6,1990
10,7.3,10,2,2000
33,5.6,10,2,2000
33,5.5,6,2,1980
15,7,9,2,1980
38,5.7,5,2,1980
52,5.6,7,2,1980
41,5.6,7,2,1980
19,5.8,8,2,1980
33,5.6,9,4,2000
33,5.6,6,4,2000
33,7.9,8,4,2000
33,7.9,6,4,2000
33,5.6,7,4,2000
33,5.6,6,4,2000
200.1,6.7,7,4,2000
200.1,6.7,6,4,2000
33,5.5,9,4,2000
33,5.5,6,4,2000
26.3,7.3,5,4,2000
26.3,7.3,6,4,2000
33,5.9,5,2,2000
33,6.4,7,2,2000
76.8,5.5,5,2,2000
33,5.5,5,2,2000
35,6,8,2,2016
19.5,5.8,7,4,2000
10,5.8,8,2,2010
10,5.7,6,2,2010
10,6.1,6,3,2010
23,7,6,2,2016
10,5.7,5,2,2016
12,6.7,6,6,2016
25,6.5,5,2,1970
20,5.8,7,2,1970
23,7.6,6,2,1970
30,5.9,5,2,1970
39.8,6.6,6,6,1990
35.5,5.6,6,6,1990
124.8,6.8,8,6,1990
33,5.9,7,6,1990
41.6,5.6,7,6,1990
10,6,8,6,1990
34,7.6,8,6,1990
69.7,5.7,8,2,2010
207,6,7,2,2010
19,5.5,9,2,2010
24,7.5,6,2,2010
24,7.5,9,2,2010
10,5.7,6,2,2010
10,5.7,9,2,2010
35,6.6,4,2,2010
35,6.6,8,2,2010
40.4,6.2,6,2,2010
40.4,6.2,8,2,2010
22.4,5.9,7,6,2010
191.6,5.9,7,6,2010
25,7.3,7,6,2010
61.9,5.8,4,4,2000
63.3,6,6,4,2000
34.1,7.2,8,4,2000
14,5.9,5,4,2010
15,6.8,7,5,2010
12,6.1,6,2,2010
9,6.6,8,2,2010
43.2,5.5,7,2,2010
37.7,5.7,10,2,2010
40,5.9,9,1,2016
121,6.1,7,1,2016
15,6.3,11,5,1970
10,6,11,5,1970
10,6.6,11,5,1970
10,5.7,11,5,1970
10,5.8,11,5,1970
10,5.6,8,4,1990
8.881,5.9,8,4,1990
76.3,5.8,8,4,1990
33,5.6,8,2,2000
33,6.4,8,2,2000
430.8,6.1,8,2,2000
10,6.7,9,2,2010
87.3,5.6,7,4,2010
10,5.9,9,4,2010
10,5.6,8,4,2010
547.4,5.6,10,5,2010
10,5.5,8,2,2010
14,5.8,7,2,2010
9,6.6,8,2,2010
80.8,5.5,8,2,2010
10,5.6,7,2,2016
9,7.8,6,6,1980
33,6.1,8,6,1980
33,5.7,5,6,1980
5,5.7,7,2,1990
35,5.5,6,2,2010
23,6.1,8,2,2010
16,5.8,8,2,2010
51,6,7,2,1980
11,5.5,8,2,1980
22,5.7,9,2,2000
33,6.1,6,2,2000
211,6.2,7,2,2000
32.8,6.1,6,2,2010
10,5.5,4,2,2010
10,6.4,8,2,2010
49.9,5.7,8,2,2010
10,5.5,9,2,2010
10,6.7,9,2,2010
10,7.5,8,2,2010
10,5.9,8,2,2010
10,5.5,8,2,2010
6,5.8,8,2,2016
20,6.5,8,2,2016
28.4,5.5,5,2,2016
13.7,6.8,6,2,2016
10,5.6,7,5,2016
83.02,5.5,7,5,2016
126,5.8,7,5,2016
12,6.9,7,5,2016
10,6.9,7,5,2016
13,5.6,7,5,2016
113,6.1,7,4,1980
25,5.7,7,4,1980
33,5.7,7,4,1980
41,5.5,7,4,1980
424,5.8,7,4,1980
40,6.8,9,2,1980
33,5.9,7,2,1990
33,5.9,6,4,1990
45.7,7.1,7,2,1990
45.7,7.1,6,4,1990
33,5.6,4,5,1990
33,5.5,4,5,1990
28.6,7.4,6,2,1990
28.6,7.4,8,4,1990
37.3,5.6,6,2,1990
37.3,5.6,6,4,1990
30.2,6,6,2,1990
30.2,6,6,4,1990
38.7,5.5,6,2,1990
38.7,5.5,4,4,1990
50.3,5.5,6,2,1990
50.3,5.5,8,4,1990
33,5.5,6,2,1990
33,5.5,8,4,1990
139.5,6.1,6,2,1990
139.5,6.1,8,4,1990
33,5.7,6,5,2000
19.9,6.7,8,5,2000
52.2,5.5,6,4,2000
33,7.2,6,4,2000
33,6.3,6,2,2000
300,5.5,6,2,2010
10,5.8,7,2,2010
105,5.8,10,2,2010
10,6.3,6,2,2016
28,5.6,8,2,2016
558.2,5.7,7,2,2000
202.8,5.7,7,2,2000
33,7.3,7,2,2000
10,5.7,6,2,2010
10,5.5,7,2,2010
116,6.2,8,4,2016
555.5,5.7,7,4,2016
59,6.5,7,4,2016
10,6.7,8,3,1980
33,5.5,6,2,2000
33,5.6,6,2,2000
24,7.9,6,2,2000
33,6,6,2,2000
33,6.6,6,2,2000
33,7.5,8,2,2010
33,6.8,7,2,2010
44.5,5.8,6,2,2010
44.5,5.8,7,4,2010
29.4,6.1,6,2,2010
29.4,6.1,6,4,2010
28.3,5.7,6,2,2010
28.3,5.7,8,4,2010
10,5.5,6,2,2010
10,5.5,7,4,2010
6,5.6,7,2,2010
35,5.8,6,2,2010
34,6.3,6,2,2010
430.5,7.2,7,2,1970
13.3,6.1,7,2,1970
28.7,5.6,9,3,1990
62.7,5.7,7,3,1990
33,6,6,2,2000
33,5.5,9,2,2000
10,6,5,2,2010
10,5.6,7,1,2010
22.7,5.7,7,2,2010
32.4,5.7,5,2,2010
19,6.3,8,2,2010
204,6.3,9,2,2010
10,5.5,8,2,2010
20,7.2,8,2,2010
10,5.7,9,2,2010
35,5.5,7,2,2010
35,5.5,5,2,2010
29.1,5.5,6,2,2010
35,5.6,5,2,2010
25,5.9,4,2,2010
35,6,8,2,2010
21.6,5.5,10,2,2010
10,5.5,4,2,2016
15,5.9,9,5,2016
26,6.9,8,5,2016
12,6.2,9,5,2016
10,5.5,7,5,2016
39,6,5,4,1970
33,5.5,5,3,1980
33,5.6,6,3,1980
63,5.7,6,3,1980
33,6.4,8,2,1990
31.5,6,8,5,2010
8,5.6,8,5,2010
18,7,8,5,2010
35,5.6,8,5,2010
307.6,5.6,6,5,2010
11,6.9,9,5,2010
21.5,5.6,6,2,2016
21.5,5.6,6,2,2016
21.5,5.6,6,2,2016
35,6.4,5,2,2016
35,6.4,7,2,2016
35,6.4,7,2,2016
9.1,5.5,8,2,2016
9.1,5.5,9,2,2016
9.1,5.5,8,2,2016
42.6,7.9,9,2,2016
42.6,7.9,6,2,2016
42.6,7.9,5,2,2016
12.4,5.7,6,2,2016
12.4,5.7,9,2,2016
12.4,5.7,8,2,2016
32.3,6.3,6,2,2016
32.3,6.3,4,2,2016
32.3,6.3,6,2,2016
10.2,5.8,5,2,2016
10.2,5.8,7,2,2016
10.2,5.8,6,2,2016
21.9,5.7,7,2,2016
21.9,5.7,6,2,2016
21.9,5.7,5,2,2016
20,5.9,5,2,2016
20,5.9,9,2,2016
20,5.9,5,2,2016
2.2,5.5,6,2,2016
2.2,5.5,8,2,2016
2.2,5.5,8,2,2016
39.1,5.9,6,2,2016
39.1,5.9,4,2,2016
39.1,5.9,10,2,2016
35,5.9,3,2,2016
35,5.9,6,2,2016
35,5.9,8,2,2016
39.5,6.1,5,2,2016
39.5,6.1,6,2,2016
39.5,6.1,8,2,2016
9.3,6.2,7,2,2016
9.3,6.2,7,2,2016
9.3,6.2,7,2,2016
13.8,5.8,7,2,2016
13.8,5.8,7,2,2016
13.8,5.8,7,2,2016
36.1,5.7,5,2,2016
36.1,5.7,9,2,2016
36.1,5.7,9,2,2016
35,5.5,8,2,2016
35,5.5,6,2,2016
35,5.5,4,2,2016
16,6.6,6,2,2016
16,6.6,7,2,2016
16,6.6,8,2,2016
15.1,5.5,8,2,2016
15.1,5.5,5,2,2016
15.1,5.5,6,2,2016
10,6.2,8,2,2016
10,6.2,7,2,2016
10,6.2,7,2,2016
28.2,5.7,9,2,2016
28.2,5.7,6,2,2016
28.2,5.7,6,2,2016
10,5.7,10,2,2016
10,5.7,9,2,2016
10,5.7,6,2,2016
49.2,6,9,2,2016
