"","Depth","Magnitude","INTENSITY","CONTINENT","YEAR.Cat"
"1",33,7.2,8,6,"1980"
"2",10,5.9,10,1,"1980"
"3",10,6.2,10,1,"1980"
"4",10,7.3,10,1,"1980"
"5",7,5.7,10,4,"1990"
"6",81.7,5.6,7,4,"1990"
"7",10,6,9,2,"2010"
"8",10,7.6,6,2,"2010"
"9",10,5.5,6,2,"2010"
"10",10,5.9,6,2,"2010"
"11",10,6,6,2,"2010"
"12",10,6.7,8,2,"2010"
"13",10,5.5,7,2,"2010"
"14",33,5.5,7,2,"2010"
"15",19,6.3,8,2,"2010"
"16",40,5.7,6,2,"1970"
"17",40,5.7,6,2,"1970"
"18",40,7.2,6,2,"1970"
"19",30,6.6,9,2,"1980"
"20",30,6.2,9,2,"1980"
"21",30,6,9,2,"1980"
"22",30,5.8,9,2,"1980"
"23",30,5.9,9,2,"1980"
"24",30,7.7,9,2,"1980"
"25",30,6,9,2,"1980"
"26",30,5.7,9,2,"1980"
"27",30,6,9,2,"1980"
"28",33,6.6,8,2,"2000"
"29",33,6.6,8,4,"2000"
"30",30.3,5.7,8,2,"2000"
"31",30.3,5.7,4,4,"2000"
"32",33,6.4,8,2,"2000"
"33",33,6.4,6,4,"2000"
"34",33,5.5,8,2,"2000"
"35",33,5.5,7,4,"2000"
"36",11,6.7,10,6,"2010"
"37",10,5.7,5,6,"2010"
"38",55.1,5.7,7,3,"2010"
"39",55.1,5.7,10,1,"2010"
"40",401.8,5.5,6,3,"2010"
"41",401.8,5.5,7,1,"2010"
"42",15.9,5.5,6,2,"2010"
"43",28.737,6.5,7,2,"2010"
"44",28.737,6.5,8,4,"2010"
"45",20,5.6,8,2,"1970"
"46",15,6.6,8,2,"1970"
"47",35.8,5.6,10,5,"1970"
"48",80,5.7,10,5,"1970"
"49",115,5.7,10,5,"1970"
"50",25,7.2,10,5,"1970"
"51",10,6.8,7,2,"2010"
"52",33,5.8,6,2,"2010"
"53",33,5.5,6,2,"2010"
"54",51,6,6,5,"2010"
"55",33,5.6,9,2,"1990"
"56",39.8,5.5,4,2,"1990"
"57",196.2,5.9,4,2,"1990"
"58",31.1,5.6,8,3,"1990"
"59",53.3,5.8,5,2,"1990"
"60",53.3,5.8,5,6,"1990"
"61",53.3,5.8,9,1,"1990"
"62",30.3,6.2,6,2,"1990"
"63",30.3,6.2,5,6,"1990"
"64",30.3,6.2,10,1,"1990"
"65",10,6.1,6,2,"2010"
"66",17.4,5.6,6,2,"2016"
"67",10,5.5,5,2,"2016"
"68",510.6,6.5,7,2,"2016"
"69",10,6.6,9,2,"1980"
"70",33,5.8,7,2,"2000"
"71",46.1,5.9,6,2,"2000"
"72",10,6.2,9,2,"2000"
"73",62.9,5.5,9,2,"2000"
"74",32,5.5,6,2,"2010"
"75",10,5.8,7,2,"2010"
"76",43,5.9,5,2,"2010"
"77",32.2,5.5,5,2,"2010"
"78",29.4,5.8,5,2,"2010"
"79",19,6.7,5,2,"2010"
"80",30,5.5,5,2,"2010"
"81",30,5.7,5,2,"2010"
"82",30,6.4,5,2,"2010"
"83",30,6.5,5,2,"2010"
"84",23.5,5.6,5,2,"2010"
"85",11.5,5.8,8,4,"2016"
"86",4,5.8,10,4,"2016"
"87",13,6.1,5,4,"2016"
"88",19,5.6,4,2,"2016"
"89",25,5.5,8,2,"2016"
"90",212,6.6,8,2,"2016"
"91",41,5.7,7,2,"2016"
"92",33,6.1,8,2,"1980"
"93",11,6.8,8,2,"1980"
"94",6,7.7,9,5,"1980"
"95",26.7,7.2,8,6,"1990"
"96",33,5.8,8,6,"1990"
"97",10,7.3,10,2,"2000"
"98",33,5.6,10,2,"2000"
"99",33,5.5,6,2,"1980"
"100",15,7,9,2,"1980"
"101",38,5.7,5,2,"1980"
"102",52,5.6,7,2,"1980"
"103",41,5.6,7,2,"1980"
"104",19,5.8,8,2,"1980"
"105",33,5.6,9,4,"2000"
"106",33,5.6,6,4,"2000"
"107",33,7.9,8,4,"2000"
"108",33,7.9,6,4,"2000"
"109",33,5.6,7,4,"2000"
"110",33,5.6,6,4,"2000"
"111",200.1,6.7,7,4,"2000"
"112",200.1,6.7,6,4,"2000"
"113",33,5.5,9,4,"2000"
"114",33,5.5,6,4,"2000"
"115",26.3,7.3,5,4,"2000"
"116",26.3,7.3,6,4,"2000"
"117",33,5.9,5,2,"2000"
"118",33,6.4,7,2,"2000"
"119",76.8,5.5,5,2,"2000"
"120",33,5.5,5,2,"2000"
"121",35,6,8,2,"2016"
"122",19.5,5.8,7,4,"2000"
"123",10,5.8,8,2,"2010"
"124",10,5.7,6,2,"2010"
"125",10,6.1,6,3,"2010"
"126",23,7,6,2,"2016"
"127",10,5.7,5,2,"2016"
"128",12,6.7,6,6,"2016"
"129",25,6.5,5,2,"1970"
"130",20,5.8,7,2,"1970"
"131",23,7.6,6,2,"1970"
"132",30,5.9,5,2,"1970"
"133",39.8,6.6,6,6,"1990"
"134",35.5,5.6,6,6,"1990"
"135",124.8,6.8,8,6,"1990"
"136",33,5.9,7,6,"1990"
"137",41.6,5.6,7,6,"1990"
"138",10,6,8,6,"1990"
"139",34,7.6,8,6,"1990"
"140",69.7,5.7,8,2,"2010"
"141",207,6,7,2,"2010"
"142",19,5.5,9,2,"2010"
"143",24,7.5,6,2,"2010"
"144",24,7.5,9,2,"2010"
"145",10,5.7,6,2,"2010"
"146",10,5.7,9,2,"2010"
"147",35,6.6,4,2,"2010"
"148",35,6.6,8,2,"2010"
"149",40.4,6.2,6,2,"2010"
"150",40.4,6.2,8,2,"2010"
"151",22.4,5.9,7,6,"2010"
"152",191.6,5.9,7,6,"2010"
"153",25,7.3,7,6,"2010"
"154",61.9,5.8,4,4,"2000"
"155",63.3,6,6,4,"2000"
"156",34.1,7.2,8,4,"2000"
"157",14,5.9,5,4,"2010"
"158",15,6.8,7,5,"2010"
"159",12,6.1,6,2,"2010"
"160",9,6.6,8,2,"2010"
"161",43.2,5.5,7,2,"2010"
"162",37.7,5.7,10,2,"2010"
"163",40,5.9,9,1,"2016"
"164",121,6.1,7,1,"2016"
"165",15,6.3,11,5,"1970"
"166",10,6,11,5,"1970"
"167",10,6.6,11,5,"1970"
"168",10,5.7,11,5,"1970"
"169",10,5.8,11,5,"1970"
"170",10,5.6,8,4,"1990"
"171",8.881,5.9,8,4,"1990"
"172",76.3,5.8,8,4,"1990"
"173",33,5.6,8,2,"2000"
"174",33,6.4,8,2,"2000"
"175",430.8,6.1,8,2,"2000"
"176",10,6.7,9,2,"2010"
"177",87.3,5.6,7,4,"2010"
"178",10,5.9,9,4,"2010"
"179",10,5.6,8,4,"2010"
"180",547.4,5.6,10,5,"2010"
"181",10,5.5,8,2,"2010"
"182",14,5.8,7,2,"2010"
